調查年 , 統計調查名稱 , 調查內容簡介 , 調查週期 , 網址
105年 , 15-29歲青年勞工就業狀況調查 , 青年就業現況 , 每2年 , http://statdb.mol.gov.tw/html/svy05/0511menu.htm
105年 , 育嬰留職停薪期滿復職關懷調查 , 育嬰留職停薪者期滿後回復原職、調整工作等情形 , 不定期 , http://statdb.mol.gov.tw/html/svy05/0521menu.htm
105年 , 勞工生活及就業狀況調查 , 勞工教育訓練情形及目前工作狀況 , 每年 , http://statdb.mol.gov.tw/html/svy05/0522menu.htm
105年 , 工作場所就業平等概況調查 , 勞工在工作職場上就業平等實況 , 每年 , http://statdb.mol.gov.tw/html/svy05/0523menu.htm
105年 , 僱用管理就業平等概況調查 , 事業單位對勞工之僱用管理性別平等實況及性別工作平等法實施狀況 , 每年 , http://statdb.mol.gov.tw/html/svy05/0524menu.htm
105年 , 人力需求調查（第一次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy05/0531menu.htm
105年 , 人力需求調查（第二次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy05/0532menu.htm
105年 , 人力需求調查（第三次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy05/0533menu.htm
105年 , 人力需求調查（第四次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy05/0534menu.htm
105年 , 領取失業給付勞工之就業關懷調查 , 領取失業給付勞工對失業協助措施的認知、看法 , 不定期 , http://statdb.mol.gov.tw/html/svy05/0541menu.htm

104年 , 職業災害失能勞工就業關懷調查 , 職業災害失能勞工罹災前後之工作與就業狀況 , 不定期 , http://statdb.mol.gov.tw/html/svy04/0411menu.htm
104年 , 育嬰留職停薪期滿復職關懷調查 , 育嬰留職停薪者期滿後回復原職、調整工作等情形 , 不定期 , http://statdb.mol.gov.tw/html/svy04/0421menu.htm
104年 , 勞工生活及就業狀況調查 , 勞工教育訓練情形及目前工作狀況 , 每年 , http://statdb.mol.gov.tw/html/svy04/0422menu.htm
104年 , 工作場所就業平等概況調查 , 勞工在工作職場上就業平等實況 , 每年 , http://statdb.mol.gov.tw/html/svy04/0423menu.htm
104年 , 僱用管理就業平等概況調查 , 事業單位對勞工之僱用管理性別平等實況及性別工作平等法實施狀況 , 每年 , http://statdb.mol.gov.tw/html/svy04/0424menu.htm
104年 , 人力需求調查（第一次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy04/0431menu.htm
104年 , 人力需求調查（第二次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy04/0432menu.htm
104年 , 人力需求調查（第三次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy04/0433menu.htm
104年 , 人力需求調查（第四次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy04/0434menu.htm
104年 , 職類別薪資調查 , 各行業及職類別受僱人數、薪資水準、初入職場者薪資 , 每年 , http://statdb.mol.gov.tw/html/svy04/0435menu.htm
104年 , 外籍勞工管理及運用調查 , 雇主對外籍勞工的運用、管理及外籍勞工工作概況等 , 不定期 , http://statdb.mol.gov.tw/html/svy04/0442menu.htm

103年 , 15-29歲青年勞工就業狀況調查 , 青年就業現況 , 每2年 , http://statdb.mol.gov.tw/html/svy03/0311menu.htm
103年 , 部分工時勞工就業實況調查 , 部分工時勞工的工作概況、勞動條件及未來工作動向 , 不定期 , http://statdb.mol.gov.tw/html/svy03/0321menu.htm
103年 , 勞工生活及就業狀況調查 , 勞工教育訓練情形及目前工作狀況 , 每年 , http://statdb.mol.gov.tw/html/svy03/0322menu.htm
103年 , 育嬰留職停薪就業關懷調查 , 育嬰留職停薪者期滿後回復原職、調整工作等情形 , 不定期 , http://statdb.mol.gov.tw/html/svy03/0323menu.htm
103年 , 僱用管理性別平等概況調查 , 事業單位對勞工之僱用管理性別平等實況及性別工作平等法實施狀況 , 每年 , http://statdb.mol.gov.tw/html/svy03/0324menu.htm
103年 , 人力需求調查（第一次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy03/0331menu.htm
103年 , 人力需求調查（第二次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy03/0332menu.htm
103年 , 人力需求調查（第三次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy03/0333menu.htm
103年 , 人力需求調查（第四次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy03/0334menu.htm
103年 , 職類別薪資調查 , 各行業及職類別受僱人數、薪資水準、初入職場者薪資 , 每年 , http://statdb.mol.gov.tw/html/svy03/0335menu.htm
103年 , 外籍勞工管理及運用調查 , 雇主對外籍勞工的運用、管理及外籍勞工工作概況等 , 不定期 , http://statdb.mol.gov.tw/html/svy03/0341menu.htm
103年 , 身心障礙者勞動狀況調查 , 身心障礙者之勞動狀況、就業情形及職業訓練與就業服務需求 , 5年 , http://statdb.mol.gov.tw/html/svy03/0342menu.htm
103年 , 職業訓練概況調查 , 各公私立機構辦理職業訓練情形 , 2年 , http://statdb.mol.gov.tw/html/svy03/0343menu.htm

102年 , 工作場所性別平等概況調查 , 勞工在工作職場上就業平等實況 , 每年 , http://statdb.mol.gov.tw/html/svy02/0223menu.htm
102年 , 僱用管理性別平等概況調查 , 事業單位對勞工之僱用管理性別平等實況及性別工作平等法實施狀況 , 每年 , http://statdb.mol.gov.tw/html/svy02/0222menu.htm
102年 , 勞工生活及就業狀況調查 , 勞工教育訓練情形及目前工作狀況 , 每年 , http://statdb.mol.gov.tw/html/svy02/0221menu.htm
102年 , 人力需求調查（第一次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy02/0231menu.htm
102年 , 人力需求調查（第二次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy02/0232menu.htm
102年 , 人力需求調查（第三次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy02/0233menu.htm
102年 , 人力需求調查（第四次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy02/0234menu.htm
102年 , 職類別薪資調查 , 各行業及職類別受僱人數、薪資水準、初入職場者薪資 , 每年 , http://statdb.mol.gov.tw/html/svy02/0235menu.htm
102年 , 102年外籍勞工管理及運用調查 , 雇主對外籍勞工的運用、管理及外籍勞工工作概況等 , 不定期 , http://statdb.mol.gov.tw/html/svy02/0241menu.htm
102年 , 102年職業訓練概況調查 , 各公私立機構辦理職業訓練情形 , 每年 , http://statdb.mol.gov.tw/html/svy02/0242menu.htm

101年 , 工作場所性別平等概況調查 , 勞工在工作職場上就業平等實況 , 每年 , http://statdb.mol.gov.tw/html/svy01/0166menu.htm
101年 , 僱用管理性別平等概況調查 , 事業單位對勞工之僱用管理性別平等實況及性別工作平等法實施狀況 , 每年 , http://statdb.mol.gov.tw/html/svy01/0106menu.htm
101年 , 勞工生活及就業狀況調查 , 勞工教育訓練情形及目前工作狀況 , 每年 , http://statdb.mol.gov.tw/html/svy01/10102menu.htm
101年 , 15-29歲青年勞工就業狀況調查 , 青年就業現況 , 每2年 , http://statdb.mol.gov.tw/html/svy01/0107menu.htm
101年 , 職類別薪資調查 , 各行業及職類別受僱人數、薪資水準、初入職場者薪資 , 每年 , http://statdb.mol.gov.tw/html/svy01/0139menu.htm
101年 , 人力需求調查（第一次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy01/0199menu.htm
101年 , 人力需求調查（第二次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy01/0103menu.htm
101年 , 人力需求調查（第三次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy01/0105menu.htm
101年 , 人力需求調查（第四次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy01/0108menu.htm
101年 , 101年職業訓練概況調查 , 各公私立機構辦理職業訓練情形 , 每年 , http://statdb.mol.gov.tw/html/svy01/0142menu.htm
101年 , 101年外籍勞工管理及運用調查 , 雇主對外籍勞工的運用、管理及外籍勞工工作概況等 , 不定期 , http://statdb.mol.gov.tw/html/svy01/0141menu.htm

100年 , 工作場所性別平等概況調查 , 勞工在工作職場上就業平等實況 , 每年 , http://statdb.mol.gov.tw/html/svy00/0066menu.htm
100年 , 僱用管理性別平等概況調查 , 事業單位對勞工之僱用管理性別平等實況及性別工作平等法實施狀況 , 每年 , http://statdb.mol.gov.tw/html/svy00/0006menu.htm
100年 , 勞工生活及就業狀況調查 , 勞工教育訓練情形及目前工作狀況 , 每年 , http://statdb.mol.gov.tw/html/svy00/10002menu.htm
100年 , 職類別薪資調查 , 各行業及職類別受僱人數、薪資水準、初入職場者薪資 , 每年 , http://statdb.mol.gov.tw/html/svy00/0050menu.htm
100年 , 勞工工作與生活平衡調查 , 勞工工作與生活平衡之狀況 , 不定期 , http://statdb.mol.gov.tw/html/svy00/0005menu.htm
100年 , 部分工時勞工就業實況調查 , 部分工時勞工工作狀況、勞動條件及就業意向 , 不定期 , http://statdb.mol.gov.tw/html/svy00/0003menu.htm
100年 , 人力需求調查（第一次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy00/0099menu.htm
100年 , 人力需求調查（第二次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy00/0080menu.htm
100年 , 人力需求調查（第三次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy00/0085menu.htm
100年 , 人力需求調查（第四次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy00/0070menu.htm
100年 , 100年職業訓練概況調查 , 各公私立機構辦理職業訓練情形 , 每年 , http://statdb.mol.gov.tw/html/svy00/0042menu.htm
100年 , 100年外籍勞工管理及運用調查 , 雇主對外籍勞工的運用、管理及外籍勞工工作概況等 , 不定期 , http://statdb.mol.gov.tw/html/svy00/0041menu.htm

99年 , 工作場所性別平等概況調查 , 勞工在工作職場上就業平等實況 , 每年 , http://statdb.mol.gov.tw/html/svy99/9944menu.htm
99年 , 僱用管理性別平等概況調查 , 事業單位對勞工之僱用管理性別平等實況及性別工作平等法實施狀況 , 每年 , http://statdb.mol.gov.tw/html/svy99/9904menu.htm
99年 , 勞工生活及就業狀況調查 , 勞工教育訓練情形及目前工作狀況 , 每年 , http://statdb.mol.gov.tw/html/svy99/9902menu.htm
99年 , 職類別薪資調查 , 各行業及職類別受僱人數、薪資水準、初入職場者薪資 , 每年 , http://statdb.mol.gov.tw/html/svy99/9950menu.htm
99年 , 15-29歲青年勞工就業狀況調查 , 青年就業現況 , 每2年 , http://statdb.mol.gov.tw/html/svy99/9920menu.htm
99年 , 視覺障礙者勞動狀況調查 , 視覺障礙者之工作現況、職業訓練與就業服務需求 , 不定期 , http://statdb.mol.gov.tw/html/svy99/9903menu.htm
99年 , 人力需求調查（第一次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy99/9901menu.htm
99年 , 人力需求調查（第二次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy99/9998menu.htm
99年 , 人力需求調查（第三次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy99/9990menu.htm
99年 , 人力需求調查（第四次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy99/9980menu.htm
99年 , 99年職業訓練概況調查 , 各公私立機構辦理職業訓練情形 , 每年 , http://statdb.mol.gov.tw/html/svy99/9942menu.htm
99年 , 99年外籍勞工管理及運用調查 , 雇主對外籍勞工的運用、管理及外籍勞工工作概況等 , 不定期 , http://statdb.mol.gov.tw/html/svy99/9941menu.htm

98年 , 工作場所性別平等概況調查 , 勞工在工作職場上就業平等實況 , 每年 , http://statdb.mol.gov.tw/html/svy98/9877menu.htm
98年 , 僱用管理性別平等概況調查 , 事業單位對勞工之僱用管理性別平等實況及性別工作平等法實施狀況 , 每年 , http://statdb.mol.gov.tw/html/svy98/9807menu.htm
98年 , 勞工生活及就業狀況調查 , 勞工教育訓練情形及目前工作狀況 , 每年 , http://statdb.mol.gov.tw/html/svy98/9802menu.htm
98年 , 職類別薪資調查 , 各行業及職類別受僱人數、薪資水準、初入職場者薪資 , 每年 , http://statdb.mol.gov.tw/html/svy98/9898menu.htm
98年 , 職業災害失能勞工之就業關懷調查 , 職業災害失能勞工罹災前後之工作狀況及需要政府協助項目 , 不定期 , http://statdb.mol.gov.tw/html/svy98/9808menu.htm
98年 , 領取失業給付勞工之就業關懷調查 , 領取失業給付勞工再就業與就業需求情形 , 不定期 , http://statdb.mol.gov.tw/html/svy98/9806menu.htm
98年 , 人力需求調查（第一次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy98/9801menu.htm
98年 , 人力需求調查（第二次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy98/9804menu.htm
98年 , 人力需求調查（第三次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy98/9805menu.htm
98年 , 人力需求調查（第四次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy98/9809menu.htm
98年 , 98年職業訓練概況調查 , 各公私立機構辦理職業訓練情形 , 每年 , http://statdb.mol.gov.tw/html/svy98/9842menu.htm

97年 , 僱用管理性別平等概況調查 , 事業單位對勞工之僱用管理性別平等實況及性別工作平等法實施狀況 , 每年 , http://statdb.mol.gov.tw/html/svy97/9702menu.htm
97年 , 勞工生活及就業狀況調查 , 勞工教育訓練情形及目前工作狀況 , 每年 , http://statdb.mol.gov.tw/html/svy97/9701menu.htm
97年 , 職類別薪資調查 , 各行業及職類別受僱人數、薪資水準、初入職場者薪資 , 每年 , http://statdb.mol.gov.tw/html/svy97/9709menu.htm
97年 , 15-29歲青年勞工就業狀況調查 , 青年就業現況 , 每2年 , http://statdb.mol.gov.tw/html/svy97/9703menu.htm
97年 , 人力需求調查（第二次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy97/9723menu.htm
97年 , 人力需求調查（第三次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy97/9704menu.htm
97年 , 人力需求調查（第四次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy97/9705menu.htm
97年 , 97年職業訓練概況調查 , 各公私立機構辦理職業訓練情形 , 每年 , http://statdb.mol.gov.tw/html/svy97/9742menu.htm
97年 , 97年外籍勞工管理及運用調查 , 雇主對外籍勞工的運用、管理及外籍勞工工作概況等 , 不定期 , http://statdb.mol.gov.tw/html/svy97/9741menu.htm

96年 , 僱用管理性別平等概況調查 , 事業單位對勞工之僱用管理性別平等實況及性別工作平等法實施狀況 , 每年 , http://statdb.mol.gov.tw/html/svy96/9607menu.htm
96年 , 勞工生活及就業狀況調查 , 勞工教育訓練情形及目前工作狀況 , 每年 , http://statdb.mol.gov.tw/html/svy96/9603menu.htm
96年 , 部分工時勞工就業實況調查 , 部分工時勞工工作狀況、勞動條件及就業意向 , 不定期 , http://statdb.mol.gov.tw/html/svy96/9605menu.htm
96年 , 身心障礙者勞動狀況調查 , 身心障礙者之工作現況、職業訓練與就業服務需求 , 不定期 , http://statdb.mol.gov.tw/html/svy96/9604menu.htm
96年 , 人力需求調查（第二次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy96/9602menu.htm
96年 , 人力需求調查（第三次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy96/9606menu.htm
96年 , 人力需求調查（第四次） , 事業單位短期之人力需求狀況 , 每季 , http://statdb.mol.gov.tw/html/svy96/9609menu.htm
96年 , 96年職業訓練概況調查 , 各公私立機構辦理職業訓練情形 , 每年 , http://statdb.mol.gov.tw/html/svy96/9642menu.htm
96年 , 96年外籍勞工管理及運用調查 , 雇主對外籍勞工的運用、管理及外籍勞工工作概況等 , 不定期 , http://statdb.mol.gov.tw/html/svy96/9641menu.htm